City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mitsamiouli,KM,79.72,light rain,-11.3847,43.2844,Foyer ADM
6,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
15,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
20,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
25,Bengkulu,ID,78.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
27,Georgetown,MY,76.93,scattered clouds,5.4112,100.3354,Cititel Penang
28,Butaritari,KI,82.62,few clouds,3.0707,172.7902,Isles Sunset Lodge
29,Victoria,HK,83.97,clear sky,22.2855,114.1577,Mini Hotel Central
34,Ende,ID,85.17,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
42,Alofi,NU,80.17,clear sky,-19.0595,-169.9187,Taloa Heights
44,Namatanai,PG,84.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
46,Hambantota,LK,79.61,broken clouds,6.1241,81.1185,Bungalow 63
55,Coahuayana,MX,77.27,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
70,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
74,Eyl,SO,81.12,few clouds,7.9803,49.8164,Amiin Hotel
82,Katherine,AU,89.92,few clouds,-14.4667,132.2667,Pine Tree Motel
83,Tomatlan,MX,77.58,clear sky,19.9333,-105.25,El Salvial
87,Port Hedland,AU,91.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
88,Hithadhoo,MV,84.0,overcast clouds,-0.6,73.0833,Scoop Guest House
101,Hope,US,78.85,clear sky,33.6671,-93.5916,Best Western Hope
103,Atuona,PF,78.89,clear sky,-9.8,-139.0333,Villa Enata
104,Dingle,PH,84.38,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
106,Tautira,PF,78.87,light rain,-17.7333,-149.15,Pension Oaoa
107,Lorengau,PG,84.04,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
109,Kavieng,PG,83.03,light rain,-2.5744,150.7967,Nusa Island Retreat
113,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
119,Isangel,VU,82.06,few clouds,-19.55,169.2667,Tanna Lodge
128,Buraydah,SA,77.43,overcast clouds,26.326,43.975,Mövenpick Qassim
131,Anloga,GH,81.45,few clouds,5.7947,0.8973,Pin Drop Hotel
137,Turan,VN,82.38,clear sky,16.0678,108.2208,Grand Mercure Danang
138,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
167,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
173,Santa Cruz,BO,78.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
175,Douentza,ML,83.37,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
181,Kilindoni,TZ,80.29,light rain,-7.9139,39.6668,Bustani B&B
182,Luganville,VU,80.91,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
184,Arraial Do Cabo,BR,75.83,clear sky,-22.9661,-42.0278,Pousada Porto Praia
196,Hervey Bay,AU,76.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
