City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mitsamiouli,KM,-11.3847,43.2844,79.72,80,100,12.15,light rain
1,Upernavik,GL,72.7868,-56.1549,-0.18,99,32,4.09,scattered clouds
2,Port Lincoln,AU,-34.7333,135.8667,61.03,67,76,15.43,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,46.51,76,75,4.61,light rain
4,Chokurdakh,RU,70.6333,147.9167,13.59,92,100,5.77,overcast clouds
5,Albany,US,42.6001,-73.9662,50.79,57,5,4.92,clear sky
6,Kapaa,US,22.0752,-159.319,80.58,85,0,14.97,clear sky
7,Mataura,NZ,-46.1927,168.8643,58.48,57,51,8.12,broken clouds
8,Hermanus,ZA,-34.4187,19.2345,51.8,70,0,10.76,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,54.59,66,0,5.28,clear sky
10,Teya,RU,60.3778,92.6267,23.02,87,100,6.64,light snow
11,Cape Town,ZA,-33.9258,18.4232,59.34,70,0,14.0,clear sky
12,Padang,ID,-0.9492,100.3543,75.25,76,88,2.84,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,75,40,2.3,scattered clouds
14,Haines Junction,CA,60.7522,-137.5108,39.65,58,100,5.82,overcast clouds
15,Cabedelo,BR,-6.9811,-34.8339,75.87,83,98,10.58,overcast clouds
16,Brasilia De Minas,BR,-16.2064,-44.4333,72.01,53,100,4.83,light rain
17,Castro,BR,-24.7911,-50.0119,59.65,91,1,3.76,heavy intensity rain
18,Stokmarknes,NO,68.5646,14.9108,33.78,93,75,4.61,broken clouds
19,Barstow,US,34.8986,-117.0228,63.59,28,7,21.12,clear sky
20,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,20,13.8,few clouds
21,Alta Floresta,BR,-9.8756,-56.0861,71.13,97,83,2.77,broken clouds
22,Defiance,US,41.3334,-84.45,55.11,78,100,13.76,overcast clouds
23,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,1.14,light snow
24,Stornoway,GB,58.2093,-6.3865,46.36,92,100,14.97,overcast clouds
25,Bengkulu,ID,-3.8004,102.2655,78.78,80,99,5.66,overcast clouds
26,Vaini,TO,-21.2,-175.2,82.56,74,20,4.61,few clouds
27,Georgetown,MY,5.4112,100.3354,76.93,94,40,9.22,scattered clouds
28,Butaritari,KI,3.0707,172.7902,82.62,72,12,19.64,few clouds
29,Victoria,HK,22.2855,114.1577,83.97,85,9,5.01,clear sky
30,Lasa,IT,46.6166,10.7002,46.69,97,96,3.47,overcast clouds
31,Geraldton,AU,-28.7667,114.6,72.01,40,0,23.02,clear sky
32,Tornio,FI,65.8481,24.1466,37.42,92,69,7.16,broken clouds
33,San Cristobal,VE,7.7669,-72.225,71.78,92,34,2.75,scattered clouds
34,Ende,ID,-8.8432,121.6623,85.17,68,98,4.09,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,59.92,46,2,4.03,clear sky
36,Te Anau,NZ,-45.4167,167.7167,57.52,56,23,7.07,few clouds
37,Clyde River,CA,70.4692,-68.5914,-5.22,83,1,4.09,clear sky
38,Berlevag,NO,70.8578,29.0864,33.6,84,99,15.35,overcast clouds
39,Rikitea,PF,-23.1203,-134.9692,72.28,87,100,7.76,light rain
40,East London,ZA,-33.0153,27.9116,62.74,86,100,11.45,moderate rain
41,Barrow,US,71.2906,-156.7887,15.82,86,100,4.61,overcast clouds
42,Alofi,NU,-19.0595,-169.9187,80.17,69,3,0.4,clear sky
43,Conde,BR,-7.2597,-34.9075,74.66,100,75,9.22,light rain
44,Namatanai,PG,-3.6667,152.4333,84.16,72,37,7.23,light rain
45,Gazojak,TM,41.1875,61.4036,70.99,44,100,11.16,overcast clouds
46,Hambantota,LK,6.1241,81.1185,79.61,79,63,6.55,broken clouds
47,Bluff,NZ,-46.6,168.3333,58.8,70,21,28.88,moderate rain
48,Tuktoyaktuk,CA,69.4541,-133.0374,21.13,85,7,16.24,clear sky
49,Hobart,AU,-42.8794,147.3294,60.26,60,20,12.66,few clouds
50,Chimbote,PE,-9.0853,-78.5783,66.24,89,99,7.02,overcast clouds
51,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.03,94,52,1.01,broken clouds
52,Qaanaaq,GL,77.484,-69.3632,4.55,90,100,1.95,overcast clouds
53,Thompson,CA,55.7435,-97.8558,34.66,88,26,2.82,scattered clouds
54,Mosquera,CO,4.7059,-74.2302,55.49,82,40,8.05,scattered clouds
55,Coahuayana,MX,18.7333,-103.6833,77.27,68,0,4.54,clear sky
